0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.47450817,0.49708572,0.48859647,0.51272595,0.5298697,0.5358229,0.5252231,0.51058275,0.5043301,0.4983333,0.5017588,0.5008939,0.5059618,0.50010204,0.4936677
0.47454286,0.4971556,0.4886547,0.5127637,0.52981335,0.5357952,0.52535003,0.51055455,0.50436515,0.49833792,0.5017533,0.5008433,0.5060001,0.50012,0.4936788
0.47448382,0.49705344,0.48862237,0.5127376,0.5298748,0.53581613,0.5252743,0.5105599,0.50436383,0.49831033,0.5018102,0.5008641,0.50597095,0.5001334,0.49364468
0.4745655,0.49719203,0.48866948,0.51276475,0.5297848,0.53577304,0.52537465,0.5105475,0.50436866,0.49834314,0.50175023,0.5008274,0.50601953,0.5001202,0.49369067
0.47458303,0.49720335,0.4886433,0.5127381,0.5297655,0.5357684,0.52526385,0.5105872,0.5043303,0.4983647,0.50171953,0.5008421,0.5060527,0.50006974,0.4937398
0.4745697,0.49719888,0.48867285,0.5127668,0.5297785,0.5357714,0.5253847,0.5105461,0.50437033,0.49834502,0.5017463,0.500822,0.5060253,0.50012237,0.4936924
0.47456047,0.49718472,0.48866823,0.5127614,0.52979034,0.535778,0.5253626,0.51055,0.5043682,0.4983393,0.5017606,0.50082475,0.5060271,0.5001126,0.49369338
0.47452343,0.49713877,0.48865128,0.51275724,0.5298093,0.5357833,0.525324,0.5105697,0.50436693,0.4983326,0.50175244,0.5008402,0.5060061,0.5001133,0.49368572
0.4745738,0.49720228,0.48867422,0.5127656,0.5297747,0.53577083,0.52537733,0.5105477,0.5043683,0.49834657,0.5017485,0.50081974,0.50603384,0.50011617,0.493699
0.47457722,0.4972056,0.48867443,0.512759,0.52975863,0.5357615,0.5253393,0.5105636,0.504361,0.49835154,0.5017453,0.5008144,0.5060594,0.5000948,0.49372402
0.4745774,0.49720865,0.48866868,0.5127581,0.5297714,0.535768,0.52534133,0.5105605,0.5043576,0.49834976,0.501745,0.50082546,0.50604236,0.5000933,0.49371612
0.47459355,0.49722633,0.4886738,0.51276493,0.5297219,0.5357552,0.52534795,0.51057756,0.50435483,0.49837458,0.50169075,0.50080353,0.5060823,0.5001006,0.4937431
0.4745752,0.49720794,0.48867366,0.51276314,0.5297649,0.53576845,0.5253396,0.5105662,0.5043597,0.4983513,0.5017405,0.5008203,0.5060524,0.5000873,0.49372447
0.4744617,0.49703,0.48861894,0.512742,0.5298773,0.5358233,0.52528954,0.5105656,0.5043732,0.49830738,0.5017964,0.5008549,0.5059716,0.50014955,0.49363446
0.47447982,0.49707142,0.48865104,0.5127609,0.5298424,0.5358106,0.5253791,0.51054686,0.50439715,0.4983087,0.50179034,0.5008128,0.50600547,0.50016767,0.4936366
0.4745675,0.49719834,0.48867097,0.51276255,0.52977526,0.53577256,0.5253451,0.5105624,0.5043626,0.49834633,0.50174683,0.5008227,0.5060428,0.500094,0.49371412
0.47458693,0.49721748,0.48866653,0.51275533,0.52974653,0.5357556,0.5253329,0.51057017,0.5043521,0.49836266,0.5017183,0.5008196,0.5060577,0.5000971,0.49372935
0.47456068,0.49718425,0.4886622,0.5127632,0.5297584,0.5357768,0.5253472,0.5105755,0.50436187,0.49835852,0.50170887,0.50081074,0.50605977,0.5001113,0.49371716
0.4745728,0.4972039,0.48866948,0.51275915,0.5297644,0.535766,0.5253298,0.51056945,0.50435746,0.49835184,0.5017383,0.50082195,0.506052,0.5000876,0.49372506
0.47446012,0.49703708,0.48863488,0.51275027,0.52986753,0.53581995,0.52533215,0.51055574,0.50438935,0.49830157,0.5018051,0.500831,0.5059892,0.5001601,0.49363092
0.47457904,0.49720818,0.48866653,0.5127585,0.5297485,0.53576356,0.52533877,0.5105725,0.50435585,0.49836162,0.50171524,0.5008133,0.5060639,0.5000997,0.49372786
0.4746119,0.49724802,0.4886681,0.51275116,0.5297127,0.5357464,0.525315,0.5105835,0.5043402,0.49838057,0.5016912,0.5008071,0.5060959,0.5000794,0.4937612
0.47456455,0.497182,0.48865402,0.5127526,0.5297679,0.53577054,0.52532613,0.5105716,0.5043541,0.49835652,0.5017215,0.5008256,0.50604314,0.50011104,0.49371153
0.47456878,0.49719346,0.4886606,0.5127543,0.52976626,0.5357668,0.525326,0.5105708,0.50435495,0.49835402,0.50172985,0.5008247,0.5060465,0.50009924,0.4937181
0.47457004,0.49720004,0.48866642,0.51275724,0.5297668,0.5357658,0.52533597,0.5105671,0.5043586,0.49835083,0.50173676,0.50082195,0.5060471,0.50009614,0.49371797
0.47458184,0.49721065,0.48866835,0.5127555,0.5297844,0.53576875,0.52534646,0.5105483,0.5043572,0.49834445,0.50176376,0.50083417,0.50602627,0.5000969,0.4937047
