0,1,2,3
0.510272,0.5293577,0.4882581,0.5146692
0.5103031,0.5294077,0.48825777,0.51466405
0.5102998,0.5293717,0.48827168,0.5146453
0.51029503,0.5294045,0.48824957,0.5146708
0.5104134,0.5295235,0.48830447,0.5146105
0.5102782,0.52939767,0.4882391,0.5146859
0.51031476,0.5294215,0.48825935,0.5146588
0.5103721,0.529475,0.48829782,0.51462895
0.5102968,0.5294174,0.48824456,0.51467663
0.51031494,0.52944905,0.48824713,0.514676
0.51032376,0.52944505,0.48825592,0.5146632
0.5102741,0.52942574,0.4882207,0.5147079
0.5103277,0.5294483,0.4882596,0.514661
0.5103444,0.529433,0.48828053,0.51463217
0.5103496,0.52944595,0.4882843,0.51463526
0.510341,0.5294499,0.48827082,0.51464677
0.51029587,0.5294288,0.4882369,0.5146846
0.51026034,0.5294181,0.48821366,0.51471925
0.51030874,0.52943426,0.48824644,0.5146734
0.5103489,0.5294383,0.4882823,0.5146304
0.5102908,0.52943385,0.48823196,0.514694
0.5103015,0.52942497,0.4882437,0.5146758
0.5102757,0.52942777,0.48822263,0.5147077
0.5103037,0.5294357,0.4882406,0.51467997
0.5103024,0.5294291,0.48824382,0.5146776
0.5103027,0.52942055,0.4882574,0.51467365
0.51028913,0.5294379,0.48823455,0.5146995
0.5103192,0.52943707,0.4882539,0.51466304
0.510348,0.5294322,0.4882964,0.51462984
0.5103756,0.5294965,0.48828474,0.5146373
0.5103333,0.5294152,0.48828423,0.5146347
0.5102599,0.52933204,0.4882524,0.5146657
0.5103318,0.5294296,0.48828596,0.51464736
0.51035136,0.52939993,0.48830232,0.51460344
0.5103256,0.5293634,0.48830628,0.514612
0.5103804,0.5294828,0.48830378,0.5146249
0.5102991,0.5294048,0.48825407,0.5146665
0.5103919,0.52950853,0.48829687,0.51462674
0.51036775,0.5295013,0.48827577,0.51464933
0.5103763,0.52946526,0.48830163,0.51461726
0.5103053,0.5293722,0.48828197,0.5146404
0.5102993,0.52941847,0.48824975,0.51467514
0.5103358,0.52948076,0.4882665,0.5146749
0.5102271,0.5293543,0.48820403,0.5147155
0.5102683,0.5294131,0.48822105,0.5147067
0.5102657,0.52933526,0.48825338,0.51466066
0.51024926,0.5293573,0.4882272,0.51469296
0.5102973,0.5294413,0.4882331,0.51469094
0.51026326,0.52939636,0.48822916,0.5147028
0.51026833,0.5294031,0.48822865,0.51470095
0.5102779,0.5294013,0.48823985,0.5146891
0.5102637,0.52932817,0.4882541,0.51465833
0.5103575,0.5294705,0.48829192,0.5146439
0.51022273,0.5293023,0.48823342,0.5146897
0.51037097,0.52948976,0.48828077,0.5146378
0.5102686,0.5293427,0.48825353,0.51466215
0.51026,0.5293265,0.4882574,0.51466274
0.5102629,0.5293662,0.4882383,0.5146835
0.5102729,0.5293421,0.48826084,0.51465744
0.5102828,0.52940786,0.48824075,0.51468754
0.510384,0.5294814,0.48830232,0.51461875
0.5103903,0.52948666,0.48830038,0.51461387
0.5102573,0.52934355,0.48824796,0.5146766
0.5104276,0.5295243,0.4883134,0.51459426
0.51030207,0.529409,0.4882582,0.5146663
0.5103328,0.5294316,0.48827788,0.5146458
0.5102748,0.52939904,0.488237,0.514691
0.51028574,0.529365,0.48826185,0.5146571
0.5101416,0.52929485,0.4881488,0.5147749
0.5103837,0.52949375,0.48829067,0.5146257
0.51029974,0.52941066,0.4882507,0.5146692
0.5103327,0.5294195,0.48828515,0.5146387
0.51034504,0.5293965,0.488298,0.51460856
0.5103082,0.52939165,0.48827606,0.5146493
0.51032746,0.5294568,0.48825008,0.5146656
0.5102621,0.5294074,0.48821366,0.5147094
0.51032525,0.529445,0.48825434,0.5146609
0.51030636,0.5294063,0.4882611,0.5146594
0.5102599,0.52935046,0.4882432,0.51467717
0.5103799,0.5294438,0.4883161,0.5145999
0.5102877,0.5294458,0.48822364,0.514705
0.5101976,0.5293056,0.48820013,0.5147188
0.51018876,0.52934337,0.4881794,0.51475346
0.51021844,0.5293677,0.4881933,0.51473445
0.51023275,0.52933574,0.48821625,0.5146972
0.5101988,0.52935404,0.4881866,0.5147492
0.5103136,0.52942497,0.48825458,0.51466197
0.5102963,0.529434,0.48823604,0.5146876
0.51016974,0.52934057,0.48816717,0.51477414
0.51031303,0.5294587,0.4882455,0.51468503
0.5101809,0.52934736,0.4881716,0.5147652
0.51033163,0.52944255,0.48826343,0.51465243
0.51031065,0.52944285,0.48824582,0.5146769
0.5102667,0.52941126,0.488224,0.514708
0.5102798,0.5294095,0.4882328,0.51469123
0.5102689,0.52939636,0.48823264,0.51469606
0.51027983,0.5294137,0.48823452,0.5146944
0.51030105,0.52944636,0.48824263,0.5146915
0.5102848,0.5294578,0.488222,0.51471716
0.51029205,0.52945316,0.4882333,0.5147064
0.5102394,0.5293394,0.4882249,0.5146926
0.510315,0.52947617,0.4882406,0.51469404
0.5103076,0.52944374,0.48824343,0.5146811
0.51026106,0.5294082,0.48821917,0.51471233
0.51030385,0.52944595,0.4882448,0.51468784
0.51022965,0.52934635,0.48821366,0.5147084
0.5102786,0.52941316,0.4882282,0.5146946
0.5102885,0.529415,0.48823717,0.5146845
0.51028615,0.5294413,0.4882324,0.51470554
0.5102795,0.529435,0.48821604,0.5147066
0.510271,0.529419,0.48821718,0.51470655
0.5102772,0.529433,0.48821762,0.5147085
0.51024425,0.5293745,0.48821744,0.51470995
0.5103199,0.52941406,0.48827732,0.51465017
0.5102682,0.5294137,0.48822194,0.5147074
0.5103505,0.52944887,0.48828596,0.51463646
0.51025057,0.5294075,0.4882086,0.51472354
0.5101965,0.5292856,0.488212,0.51470816
0.5103314,0.52944493,0.4882673,0.51465523
0.51017344,0.52928126,0.4881923,0.5147317
0.5103364,0.5294877,0.48824736,0.5146754
0.51029015,0.5294329,0.48823217,0.51469415
0.51016796,0.5292752,0.48818934,0.51473397
0.51030976,0.52943444,0.48825422,0.5146737
0.5102225,0.5293015,0.48822752,0.51468843
0.51030284,0.5294317,0.48825172,0.5146803
0.51028407,0.52941966,0.48824194,0.5146946
0.51024467,0.5293468,0.48823196,0.5146925
0.5102706,0.5294076,0.48823234,0.51470184
0.5103115,0.52944183,0.48825127,0.5146762
0.5102025,0.5292909,0.48821443,0.5147045
0.51025796,0.5293621,0.4882341,0.5146863
0.5102549,0.5293548,0.48823467,0.51468515
0.51023066,0.52932394,0.48822826,0.5146938
0.510176,0.529278,0.48819643,0.51472676
0.51030874,0.5294472,0.4882537,0.514684
0.51028883,0.52942854,0.4882378,0.5146938
0.51028156,0.52944493,0.48821887,0.51471156
0.5102355,0.52931315,0.48823446,0.514681
0.5103377,0.52948385,0.48825446,0.5146723
0.51025224,0.5293561,0.48823208,0.5146891
0.5102812,0.5294529,0.48821217,0.51471645
0.5103087,0.5294333,0.48824582,0.5146727
0.51019007,0.52928436,0.4882064,0.5147148
0.510322,0.5294387,0.48826343,0.51466244
0.5102906,0.5294466,0.4882265,0.51470226
0.51028746,0.52938044,0.48825228,0.51466405
0.5102873,0.5294344,0.48822707,0.51469797
0.51028574,0.5294496,0.48821923,0.5147094
0.5102794,0.52943933,0.488219,0.5147103
0.51030356,0.52943766,0.488246,0.51468253
0.5103389,0.52947855,0.4882576,0.5146675
0.5102769,0.52937555,0.48824486,0.514673
0.51029515,0.5294319,0.48823574,0.5146876
0.5102028,0.5292885,0.48821574,0.51470274
0.51027125,0.5294536,0.48821592,0.5147307
0.5102698,0.5294206,0.488229,0.51471156
0.510374,0.52944684,0.4883104,0.5146088
0.51030725,0.5294782,0.48824814,0.5147071
0.51027757,0.52944136,0.48823848,0.514718
0.5102908,0.52946764,0.48824117,0.51471984
0.5103374,0.52939874,0.48829025,0.5146187
0.5102934,0.52947086,0.4882437,0.51471925
0.51038516,0.5295053,0.48829743,0.5146334
0.51027197,0.5294316,0.4882166,0.5147141
0.5103576,0.52940017,0.48831812,0.5145984
0.51033163,0.52945495,0.48826185,0.5146611
0.51023686,0.52940243,0.48819864,0.5147361
0.5102958,0.5294299,0.4882374,0.5146856
0.5102974,0.52945065,0.48823604,0.5146981
0.51037997,0.52943176,0.488321,0.5145922
0.5102482,0.5294174,0.4882008,0.51473224
0.5102499,0.52941775,0.4882024,0.5147305
0.5103794,0.5294274,0.48832956,0.51459146
0.5103115,0.5294415,0.48824424,0.51467454
0.51029736,0.5294356,0.48822945,0.5146861
0.5102805,0.5293729,0.4882532,0.5146679
0.51029366,0.52943176,0.48822945,0.5146882
0.51026267,0.5293456,0.4882472,0.5146708
0.5103119,0.52946264,0.48823798,0.5146879
0.51030046,0.5294512,0.48822558,0.51469237
0.5102618,0.5293693,0.4882423,0.51468796
0.5103237,0.52944654,0.48825315,0.5146638
0.5102409,0.5293172,0.48824024,0.51467776
0.51019347,0.52928734,0.48821023,0.5147131
0.5103182,0.52939117,0.48828152,0.5146369
0.51032484,0.5294404,0.4882579,0.51465887
0.51031977,0.52945405,0.48826092,0.5146758
0.51025367,0.52939737,0.48822728,0.51471585
0.5102622,0.5294137,0.48822752,0.5147163
0.5102637,0.52941424,0.48821366,0.51471215
0.51026684,0.5294169,0.48823103,0.5147132
0.51026005,0.5294002,0.48822364,0.51470876
0.5102038,0.52928555,0.4882191,0.51470006
0.510334,0.52947354,0.48826268,0.5146714
0.5102664,0.5293893,0.48823604,0.5146949
0.5102497,0.5293971,0.48822224,0.5147199
0.5103377,0.5294659,0.48827037,0.5146625
0.5102675,0.52937967,0.48824105,0.51468754
0.5103497,0.5294802,0.4882764,0.5146581
0.51026726,0.5294119,0.48821804,0.5147066
0.5102619,0.5294022,0.48822457,0.5147079
0.510264,0.52940553,0.48822546,0.51470774
0.5103174,0.5294468,0.4882582,0.51467335
0.5103279,0.52947325,0.48825717,0.51467824
0.51019645,0.529287,0.488214,0.51470965
0.5102681,0.52936673,0.48824492,0.51467836
0.51033807,0.52946967,0.4882686,0.51466435
0.5103446,0.529474,0.48827487,0.51466
0.5103287,0.529462,0.4882656,0.51467067
0.5102603,0.5293981,0.4882252,0.51470715
0.5102656,0.529397,0.48823082,0.51470053
0.5102898,0.52945334,0.4882199,0.5147069
0.510283,0.52937,0.48825896,0.5146638
0.5102884,0.5294701,0.48821247,0.51471925
0.5102834,0.5294487,0.4882174,0.5147115
0.51030767,0.5294112,0.4882648,0.51466185
0.51029646,0.52944666,0.488237,0.51469666
0.51026267,0.5294346,0.4882059,0.5147265
0.51031834,0.5294314,0.48826155,0.51466167
0.51031196,0.52949226,0.48822507,0.5147065
0.51030654,0.52938724,0.4882735,0.5146479
0.5103044,0.5294736,0.48822904,0.51470387
0.51031786,0.5294107,0.48827368,0.5146498
0.51033044,0.5293994,0.4882864,0.5146276
0.5102615,0.5294422,0.4881957,0.5147316
0.5103019,0.52941483,0.4882511,0.5146694
0.5102861,0.5293868,0.48824888,0.5146698
0.5103141,0.52944213,0.48824656,0.514672
0.51023304,0.5293396,0.4882228,0.5147008
0.5103034,0.5293797,0.48827544,0.514647
0.5102824,0.5294529,0.48821247,0.5147149
0.51025426,0.52935946,0.48823223,0.51468885
0.5102677,0.5294115,0.48822314,0.5147067
0.51024365,0.5294269,0.4881859,0.5147422
0.5102646,0.5294474,0.48819894,0.51473176
0.51029545,0.5293843,0.48827127,0.51466
0.5102852,0.52936995,0.48825923,0.5146609
0.5102447,0.52932847,0.48824242,0.51468116
0.5102989,0.52938586,0.48825842,0.51465404
0.5103281,0.5294334,0.4882752,0.51465285
0.5103243,0.52943134,0.4882732,0.514656
0.5102394,0.5293779,0.48820502,0.5147163
0.5103026,0.52940595,0.48826554,0.51466495
0.51030266,0.5294211,0.48825958,0.51467454
0.51029444,0.5294026,0.4882574,0.5146717
0.5102549,0.52939403,0.48821542,0.51470953
0.5102211,0.5293549,0.48820648,0.51472425
0.5103138,0.5294568,0.48824906,0.51468337
0.5102962,0.5294037,0.48825583,0.5146698
0.5102755,0.5293998,0.48824304,0.51469195
0.51031494,0.52941746,0.48826593,0.51465696
0.5101913,0.5292797,0.4882111,0.51471066
0.5103128,0.52947074,0.488237,0.51469237
0.5102284,0.5293327,0.48822138,0.51470166
0.51031214,0.5294289,0.48825288,0.5146663
0.5102775,0.5293437,0.48826206,0.5146527
0.5102967,0.5294261,0.48824412,0.514683
0.51025486,0.5293367,0.48824367,0.51467407
0.51031995,0.52940685,0.48826775,0.51464313
0.5103137,0.5294219,0.48825797,0.5146603
0.5102829,0.5293663,0.48825553,0.51466054
0.51034176,0.5294773,0.48825514,0.5146624
0.51030886,0.5294226,0.48825115,0.5146657
0.5102735,0.5294318,0.4882163,0.5147123
0.51023746,0.5293827,0.48821524,0.5147244
0.5103206,0.5294375,0.48825878,0.51466244
0.51031893,0.52943546,0.4882599,0.5146635
0.51026785,0.52932805,0.4882596,0.5146538
0.5102841,0.5294085,0.4882416,0.51468647
0.5102688,0.5293262,0.48826253,0.5146518
0.5103285,0.5294501,0.48826066,0.51466155
0.5103092,0.5294288,0.4882531,0.5146702
0.51026833,0.52933216,0.48825952,0.51465607
0.5103153,0.52942973,0.48825952,0.51466405
0.5103242,0.5294427,0.48825917,0.5146616
0.5102563,0.5293918,0.48821694,0.51470643
0.51027185,0.5293343,0.48826206,0.5146535
0.5102873,0.52941984,0.4882381,0.51468974
0.51031137,0.5294301,0.4882544,0.5146685
0.51027644,0.52939814,0.48824432,0.5146897
0.5102997,0.52942884,0.4882443,0.5146811
0.5102635,0.52932316,0.4882589,0.5146559
0.51027644,0.5293328,0.48826572,0.5146471
0.5102841,0.5294085,0.4882416,0.51468647
0.510311,0.52943707,0.48825535,0.51467407
0.5103199,0.5294376,0.48825854,0.5146634
0.5102869,0.5294174,0.48824337,0.51468945
0.51029533,0.5294202,0.4882465,0.5146811
0.5102824,0.52940255,0.48824587,0.51468533
